ID,Country,age,gender,ses,jobnature,religion,married,IGF01,IGF02,IGF03,IGI01,IGI02,IGI03,OGF01,OGF02,OGF03,OGI01,OGI02,OGI03,ENDBCL01,ENDBCL02,ENDBCL03,ENDBBL01,ENDBBL02,ENDBBL03,EXPBCL01,EXPBCL02,EXPBCL03,EXPBBL01,EXPBBL02,EXPBBL03,empathic_concern_01,empathic_concern_02,empathic_concern_03,perspective_taking_01,perspective_taking_02,perspective_taking_03,perspective_taking_04,history_discrimination,og_hostility,og_cooperation,fight_outgroup,imagistic,Event_positive_affect,Event_negative_affect,Event_episodic_recall,Event_shared_perception,Event_event_reflection,Event_transformative_indiv,Event_transformative_group,bbl,bcl,igfusion,igidentification,ogbonds,empathic_concern,perspective_taking,Event_reflection,Event_imagistic,BCL,BBL,Ingroup_fusion,Ingroup_identification,Outgroup_bonds,Age,Gender: ,SES: ,Empathic_concern,Perspective_taking,Perceived_discrimination,OG_hostility,OG_cooperation,Fight_OG
GMB126,Gambia,45,Male,Lower middle,Self-employed,Muslim: Sunni,Married,6,6,6,6,6,6,5,5,4,5,5,5,7,7,7,7,7,7,7,7,6,7,6,6,7,1,7,7,7,7,7,6,5,3.5,6,35.5,5,7,6,7,4,2,4.5,7,7,6,6,4.83333333333333,5,7,4,35.5,7,7,6,6,4.83333333333333,45,Male,Lower middle,5,7,6,5,3.5,6
GMB127,Gambia,64,Male,Middle,Non-government,Muslim: Sunni,Married,5,5,4,5,6,6,5,4,4,4,5,6,7,7,7,5,2,2,6,6,6,3,3,3,7,7,7,7,7,7,5,4,4,3,4,34.5,5,6,6,7,5,1,4.5,3,7,4.66666666666667,5.66666666666667,4.66666666666667,7,6.5,5,34.5,7,3,4.66666666666667,5.66666666666667,4.66666666666667,64,Male,Middle,7,6.5,4,4,3,4
GMB128,Gambia,29,Male,Middle,Non-government,,Married,7,7,,7,7,7,1,1,1,1,1,1,7,7,7,5,6,5,7,7,7,4,5,4,7,7,7,7,6,6,6,3,5,3,5,26,3,6,5,5.5,1.5,2,3,5.33333333333333,7,,7,1,7,6.25,1.5,26,7,5.33333333333333,,7,1,29,Male,Middle,7,6.25,3,5,3,5
GMB129,Gambia,37,Male,Middle,Government,Muslim: Sunni,Married,6,5,4,5,5,5,2,2,2,2,2,2,6,6,5,4,5,4,5,5,5,3,3,3,5,6,5,5,5,6,5,4,,3.5,3,32,6,5,5,5.5,3,3.5,4,4.33333333333333,5.66666666666667,5,5,2,5.33333333333333,5.25,3,32,5.66666666666667,4.33333333333333,5,5,2,37,Male,Middle,5.33333333333333,5.25,4,,3.5,3
GMB13,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMB130,Gambia,23,Female,Lower middle,Self-employed,Muslim: Sunni,Unmarried,6,5,4,6,6,6,2,2,2,2,2,2,5,5,5,4,4,4,4,4,4,3,3,3,5,5,6,6,5,5,5,3,3,3.5,3,25.5,3,5,3.5,5,2,2.5,4.5,4,5,5,6,2,5.33333333333333,5.25,2,25.5,5,4,5,6,2,23,Female,Lower middle,5.33333333333333,5.25,3,3,3.5,3
GMB131,Gambia,24,Male,Middle,Self-employed,Muslim: Sunni,Unmarried,6,5,3,5,6,6,2,2,2,2,2,2,6,6,6,5,5,5,4,5,4,4,5,4,6,6,5,7,6,6,6,3,2,4,2,,4,3,3,4,1.5,,3,5,6,4.66666666666667,5.66666666666667,2,5.66666666666667,6.25,1.5,,6,5,4.66666666666667,5.66666666666667,2,24,Male,Middle,5.66666666666667,6.25,3,2,4,2
GMB132,Gambia,39,Male,Middle,Self-employed,Muslim: Sunni,Married,7,7,7,7,7,7,5,1,1,1,1,1,7,7,7,1,1,1,3,4,7,6,7,6,7,7,7,7,6,7,7,6,4,4,7,,,7,6.5,7,5,3,3.5,1,7,7,7,1.66666666666667,7,6.75,5,,7,1,7,7,1.66666666666667,39,Male,Middle,7,6.75,6,4,4,7
GMB133,Gambia,23,Male,Lower middle,Self-employed,Muslim: Sunni,Unmarried,6,4,6,4,6,6,2,2,4,2,2,2,6,4,6,7,6,7,6,7,6,7,6,4,6,6,6,6,6,7,6,4,4,3,6,31,2,6,6.5,5,4,4,3.5,6.66666666666667,5.33333333333333,5.33333333333333,5.33333333333333,2.33333333333333,6,6.25,4,31,5.33333333333333,6.66666666666667,5.33333333333333,5.33333333333333,2.33333333333333,23,Male,Lower middle,6,6.25,4,4,3,6
GMB134,Gambia,32,Female,Middle,,Muslim: Sunni,,7,7,2,7,7,7,1,1,1,1,1,1,1,2,2,2,2,2,7,4,4,1,4,1,7,1,7,7,6,5,6,2,4,1,7,37,1,7,7,7,7,4,4,2,1.66666666666667,5.33333333333333,7,1,5,6,7,37,1.66666666666667,2,5.33333333333333,7,1,32,Female,Middle,5,6,2,4,1,7
GMB135,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMB136,Gambia,26,Female,Middle,Government,Muslim: Sunni,Married,4,2,3,5,4,4,4,4,4,5,5,5,4,6,5,4,5,1,4,2,3,2,5,6,7,7,7,5,7,7,7,4,4,3,4,30,2,6,4.5,5,4,2,6.5,3.33333333333333,5,3,4.33333333333333,4.5,7,6.5,4,30,5,3.33333333333333,3,4.33333333333333,4.5,26,Female,Middle,7,6.5,4,4,3,4
GMB137,Gambia,40,Female,Middle,Non-government,Muslim: Sunni,Married,7,7,7,7,7,7,6,4,,5,5,5,7,,7,7,6,6,7,4,7,7,6,6,7,7,7,7,6,6,5,7,2.5,3,2,35.5,6,2,6,4.5,5.5,5.5,6,6.33333333333333,,7,7,,7,6,5.5,35.5,,6.33333333333333,7,7,,40,Female,Middle,7,6,7,2.5,3,2
GMB138,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMB139,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMB14,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMB140,Gambia,47,Female,Middle,Government,Christian: Catholic,Married,7,7,7,7,7,7,4,4,4,4,4,4,6,4,5,1,2,2,6,4,5,3,1,1,6,7,6,6,6,6,6,6,2,3.5,4,37.5,4,4,6,7,6,5.5,5,1.66666666666667,5,7,7,4,6.33333333333333,6,6,37.5,5,1.66666666666667,7,7,4,47,Female,Middle,6.33333333333333,6,6,2,3.5,4
GMB141,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMB142,Gambia,36,Male,Middle,Non-government,Muslim: Sunni,Married,7,7,7,6,6,6,4,4,3,2,1,2,1,1,3,1,3,3,5,6,4,6,7,5,4,5,2,6,3,6,4,6,3,3.5,2,29.5,7,1,5,5.5,3,4,4,2.33333333333333,1.66666666666667,7,6,2.66666666666667,3.66666666666667,4.75,3,29.5,1.66666666666667,2.33333333333333,7,6,2.66666666666667,36,Male,Middle,3.66666666666667,4.75,6,3,3.5,2
GMB143,Gambia,32,Female,Upper middle,Government,Muslim: Sunni,Married,1,1,1,1,1,1,2,2,2,1,1,1,1,3,1,1,1,3,1,1,6,6,1,1,2,7,1,1,2,1,1,1,2,1.5,2,10.5,2,1,2,1.5,1,2,1,1.66666666666667,1.66666666666667,1,1,1.5,3.33333333333333,1.25,1,10.5,1.66666666666667,1.66666666666667,1,1,1.5,32,Female,Upper middle,3.33333333333333,1.25,1,2,1.5,2
GMB144,Gambia,30,Female,Middle,Non-government,Muslim: Sunni,Married,5,6,4,5,6,7,5,1,1,1,2,4,7,5,5,2,2,2,4,4,5,5,4,3,7,1,6,6,5,5,6,6,1,3.5,1,,,,,,,,,2,5.66666666666667,5,6,2.33333333333333,4.66666666666667,5.5,,,5.66666666666667,2,5,6,2.33333333333333,30,Female,Middle,4.66666666666667,5.5,6,1,3.5,1
GMB145,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMB146,Gambia,39,Male,Middle,Government,Muslim: Sunni,Married,7,7,7,7,7,7,1,1,1,1,1,1,7,7,7,4,4,4,7,7,7,2,2,2,7,7,7,7,7,7,7,5,4,3,7,35.5,1,7,5.5,7,7,4,4,4,7,7,7,1,7,7,7,35.5,7,4,7,7,1,39,Male,Middle,7,7,5,4,3,7
GMB147,Gambia,37,Male,,Government,Muslim: Sunni,Married,7,7,6,5,4,5,6,6,5,6,5,1,1,3,6,3,6,5,5,1,6,2,6,1,7,2,6,7,6,6,2,6,4,4,3,25.5,3,7,3,6.5,3,1.5,1.5,4.66666666666667,3.33333333333333,6.66666666666667,4.66666666666667,4.83333333333333,5,5.25,3,25.5,3.33333333333333,4.66666666666667,6.66666666666667,4.66666666666667,4.83333333333333,37,Male,,5,5.25,6,4,4,3
GMB148,Gambia,42,Male,Middle,Non-government,Muslim: Sunni,Married,6,6,6,6,6,4,6,5,,5,,2,4,2,5,4,5,5,6,3,6,3,5,4,6,6,6,6,6,6,1,6,4,4,4,25.5,2,6,3.5,6,4,2,2,4.66666666666667,3.66666666666667,6,5.33333333333333,,6,4.75,4,25.5,3.66666666666667,4.66666666666667,6,5.33333333333333,,42,Male,Middle,6,4.75,6,4,4,4
GMB149,Gambia,37,Male,Middle,Self-employed,Muslim: Sunni,Married,7,7,7,6,7,7,6,2,3,2,5,2,7,7,6,4,4,4,6,5,4,4,5,3,7,4,6,6,6,7,6,6,4,4,2,24.5,1,6,6.5,4.5,1,2,3.5,4,6.66666666666667,7,6.66666666666667,3.33333333333333,5.66666666666667,6.25,1,24.5,6.66666666666667,4,7,6.66666666666667,3.33333333333333,37,Male,Middle,5.66666666666667,6.25,6,4,4,2
GMB15,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMB150,Gambia,22,Female,Middle,,Muslim: Sunni,Unmarried,7,7,4,6,6,6,4,4,1,1,5,4,6,6,6,7,7,7,5,5,4,5,5,4,6,6,7,6,6,6,4,6,1,3.5,1,26,1,7,5.5,5.5,3,3,1,7,6,6,6,3.16666666666667,6.33333333333333,5.5,3,26,6,7,6,6,3.16666666666667,22,Female,Middle,6.33333333333333,5.5,6,1,3.5,1
GMB151,Gambia,36,Male,Middle,Self-employed,Muslim: Sunni,Married,7,7,6,6,6,6,6,5,5,6,6,,7,7,7,2,2,2,4,4,4,4,4,4,7,7,7,7,7,7,5,6,2,4.5,6,34.5,2,6,6,6,3.5,5,6,2,7,6.66666666666667,6,,7,6.5,3.5,34.5,7,2,6.66666666666667,6,,36,Male,Middle,7,6.5,6,2,4.5,6
GMB152,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMB153,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMB154,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMB155,Gambia,41,Male,Middle,Non-government,Muslim: Sunni,Married,6,5,5,6,6,6,5,5,5,5,5,5,5,5,5,5,1,1,5,6,6,6,2,1,7,7,7,7,7,7,7,4,4,2.5,4,19,1,1,4,4.5,4.5,1,3,2.33333333333333,5,5.33333333333333,6,5,7,7,4.5,19,5,2.33333333333333,5.33333333333333,6,5,41,Male,Middle,7,7,4,4,2.5,4
GMB156,Gambia,41,Female,Middle,Government,Muslim: Sunni,Married,3,1,1,5,5,5,5,1,1,1,1,1,6,5,5,6,1,1,2,3,6,4,2,2,7,7,7,7,7,7,7,5,5,3,5,,6,5,,3,5.5,7,6,2.66666666666667,5.33333333333333,1.66666666666667,5,1.66666666666667,7,7,5.5,,5.33333333333333,2.66666666666667,1.66666666666667,5,1.66666666666667,41,Female,Middle,7,7,5,5,3,5
GMB157,Gambia,39,Male,Middle,Self-employed,Muslim: Sunni,Married,5,5,3,5,5,1,4,4,5,4,4,4,6,5,5,5,1,4,4,2,4,4,4,4,7,7,7,7,7,7,5,5,5,1.5,4,18.5,1,1,2,4,4.5,1,5,3.33333333333333,5.33333333333333,4.33333333333333,3.66666666666667,4.16666666666667,7,6.5,4.5,18.5,5.33333333333333,3.33333333333333,4.33333333333333,3.66666666666667,4.16666666666667,39,Male,Middle,7,6.5,5,5,1.5,4
GMB158,Gambia,,Female,Middle,,Muslim: Sunni,Unmarried,6,5,4,5,4,6,2,1,2,5,2,2,6,6,6,5,4,5,5,6,7,1,3,2,6,7,6,6,6,6,6,2,2,1.5,2,25.5,1,7,5,6,2,2,2.5,4.66666666666667,6,5,5,2.33333333333333,6.33333333333333,6,2,25.5,6,4.66666666666667,5,5,2.33333333333333,,Female,Middle,6.33333333333333,6,2,2,1.5,2
GMB159,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMB16,Gambia,26,Female,Middle,Self-employed,Christian: Other,Unmarried,7,6,4,6,6,6,2,2,2,1,1,1,1,2,6,6,6,6,3,1,4,3,4,3,5,6,6,5,5,5,5,4,4,3,4,32,2,2,4,6,6,6,6,6,3,5.66666666666667,6,1.5,5.66666666666667,5,6,32,3,6,5.66666666666667,6,1.5,26,Female,Middle,5.66666666666667,5,4,4,3,4
GMB160,Gambia,24,Female,Upper middle,Government,Muslim: Sunni,Married,7,7,7,6,5,5,1,1,2,2,1,1,7,7,7,1,1,1,7,6,4,7,7,7,7,6,5,6,7,3,2,1,4,1,7,43,1,7,7,7,7,7,7,1,7,7,5.33333333333333,1.33333333333333,6,4.5,7,43,7,1,7,5.33333333333333,1.33333333333333,24,Female,Upper middle,6,4.5,1,4,1,7
GMB161,Gambia,47,Male,Middle,Government,Muslim: Sunni,Married,6,5,4,6,6,6,2,2,2,3,3,3,6,6,6,6,6,6,5,4,4,4,5,5,5,5,4,5,5,5,5,6,3,4.5,4,31,2,7,5.5,6,5.5,2,3,6,6,5,6,2.5,4.66666666666667,5,5.5,31,6,6,5,6,2.5,47,Male,Middle,4.66666666666667,5,6,3,4.5,4
GMB162,Gambia,26,Male,Upper middle,Self-employed,Muslim: Sunni,Unmarried,7,6,5,6,7,7,4,4,4,2,2,2,7,2,2,2,2,2,7,4,3,5,2,1,7,2,7,5,7,4,3,6,4.5,4.5,4,31.5,1,7,6,4.5,3.5,6.5,3,2,3.66666666666667,6,6.66666666666667,3,5.33333333333333,4.75,3.5,31.5,3.66666666666667,2,6,6.66666666666667,3,26,Male,Upper middle,5.33333333333333,4.75,6,4.5,4.5,4
